p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
0,0.431624132,0.242,0.085,0,0,TMEM38B
0,0.431567943,0.612,0.251,0,0,RP11-1000B6.3
0,0.430650542,0.373,0.148,0,0,ADAM23
0,0.430528721,0.634,0.255,0,0,CHCHD3
0,0.430379319,0.299,0.119,0,0,AC002066.1
0,0.43013259,0.77,0.319,0,0,AKAP9
0,0.429831972,0.661,0.303,0,0,FAM46A
0,0.429490522,0.183,0.048,0,0,RP11-166P13.4
0,0.429424042,0.85,0.367,0,0,IL1RAPL1
0,0.426704339,0.226,0.067,0,0,AC017101.10
0,0.42625025,0.938,0.466,0,0,MAP4
0,0.425486696,0.338,0.13,0,0,BSG
0,0.425372064,0.56,0.218,0,0,ZNF106
0,0.424853869,0.653,0.259,0,0,PPM1L
0,0.424796093,0.865,0.355,0,0,TNNI3
0,0.424629216,0.337,0.141,0,0,RP11-701H24.9
0,0.424074115,0.189,0.053,0,0,AC079135.1
0,0.422802936,0.272,0.102,0,0,SLC25A20
0,0.420457299,0.303,0.123,0,0,LAPTM4B
0,0.419776212,0.372,0.149,0,0,MFSD11
0,0.419443519,0.521,0.209,0,0,SLC25A36
0,0.418172836,0.251,0.097,0,0,TBX5
0,0.418170502,0.565,0.222,0,0,GATA4
0,0.41756242,0.576,0.237,0,0,FAM13B
0,0.417341268,0.693,0.286,0,0,MAP4K3
0,0.416069769,0.576,0.229,0,0,FBXW7
0,0.415937884,0.363,0.151,0,0,PPP1R13L
0,0.415492451,0.28,0.114,0,0,SLC41A1
0,0.415468711,0.588,0.233,0,0,SLC20A2
0,0.415435852,0.363,0.142,0,0,FP325317.1
0,0.413758416,0.347,0.14,0,0,ABCC5
0,0.413266789,0.257,0.102,0,0,MAOB
0,0.413226141,0.554,0.228,0,0,FNIP2
0,0.413189304,0.242,0.067,0,0,HSPB3
0,0.412963476,0.597,0.251,0,0,GBF1
0,0.41281023,0.311,0.127,0,0,TRIM54
0,0.412381597,0.315,0.134,0,0,MRPS25
0,0.411406921,0.241,0.092,0,0,EYA1
0,0.411400526,0.213,0.074,0,0,RIC3
0,0.41014272,0.583,0.225,0,0,CLIC5
0,0.408822895,0.422,0.175,0,0,HADHA
0,0.408243596,0.453,0.189,0,0,GPI
0,0.407783155,0.522,0.213,0,0,ARIH2
0,0.406369723,0.268,0.095,0,0,FASTKD1
0,0.406170739,0.203,0.058,0,0,FRMPD4
0,0.405744049,0.299,0.116,0,0,RALA
0,0.405247201,0.283,0.115,0,0,RP11-93G5.1
0,0.405238052,0.968,0.6,0,0,N4BP2L2
0,0.404860082,0.821,0.345,0,0,FBXL17
0,0.404654347,0.243,0.086,0,0,COL4A5
0,0.404076078,0.458,0.189,0,0,AC007246.3
0,0.401907702,0.417,0.164,0,0,HSPB7
0,0.401264365,0.981,0.555,0,0,PTPRM
0,0.400924513,0.8,0.341,0,0,LRRFIP1
0,0.399847489,0.316,0.123,0,0,SNAP23
0,0.399031579,0.368,0.154,0,0,MAGED1
0,0.398853729,0.341,0.14,0,0,ADHFE1
0,0.398794496,0.281,0.115,0,0,BZW2
4.59E-268,0.398399702,0.179,0.064,3.44E-264,0,RP11-111E14.1
0,0.395470556,0.163,0.028,0,0,BRINP3
0,0.395389169,0.349,0.149,0,0,PALM2-AKAP2
0,0.39525939,0.233,0.068,0,0,KIF26B
0,0.394741991,0.565,0.236,0,0,JAZF1
0,0.394461003,0.428,0.184,0,0,ZMYND8
0,0.394381579,0.267,0.111,0,0,NALCN
0,0.394203555,0.377,0.166,0,0,TMEM164
0,0.394144904,0.244,0.084,0,0,SCPEP1
0,0.393347025,0.458,0.194,0,0,FOCAD
0,0.392888685,0.282,0.119,0,0,NEDD4L
0,0.39225695,0.226,0.077,0,0,CDC42EP3
0,0.391936642,0.215,0.079,0,0,PGM1
0,0.391349715,0.318,0.134,0,0,JPH2
0,0.390798537,0.583,0.237,0,0,NBEA
0,0.3901891,0.216,0.077,0,0,SLC27A6
0,0.389759258,0.373,0.156,0,0,ST3GAL6
0,0.389298301,0.384,0.16,0,0,STRN
0,0.388720955,0.578,0.248,0,0,DHRSX
2.62E-295,0.388064,0.226,0.088,1.96E-291,0,SLC16A1
0,0.387898613,0.252,0.094,0,0,GPD1L
0,0.387358096,0.256,0.092,0,0,CCDC93
0,0.387310011,0.532,0.219,0,0,SLC16A1-AS1
4.36E-291,0.383908815,0.204,0.075,3.27E-287,0,RP11-286E11.1
0,0.383907073,0.234,0.09,0,0,DTWD2
0,0.383152524,0.455,0.195,0,0,GAREM1
0,0.382858287,0.408,0.177,0,0,DECR1
0,0.380685194,0.563,0.241,0,0,HIVEP3
0,0.380538013,0.407,0.18,0,0,ATP2C1
0,0.379368851,0.264,0.108,0,0,USP31
0,0.378969312,0.409,0.178,0,0,EPS15L1
0,0.378343753,0.963,0.51,0,0,ZFPM2
0,0.378055534,0.141,0.032,0,0,AC109642.1
0,0.377872222,0.624,0.264,0,0,UBE2H
5.35E-260,0.377489908,0.183,0.067,4.01E-256,0,C14orf180
1.02E-286,0.376923512,0.23,0.091,7.62E-283,0,RP11-486A14.2
0,0.376331324,0.918,0.427,0,0,MEF2A
0,0.375997106,0.268,0.107,0,0,VIPR2
0,0.375969229,0.15,0.035,0,0,RGN
0,0.374481232,0.358,0.16,0,0,MEIS1
7.02E-253,0.373720484,0.229,0.098,5.26E-249,0,COBL
0,0.372371709,0.249,0.099,0,0,TRIM63
0,0.371808765,0.29,0.124,0,0,NFYC
0,0.371675799,0.345,0.155,0,0,RILPL1
0,0.37056281,0.151,0.04,0,0,RP11-23P13.6
0,0.370482822,0.575,0.207,0,0,ANKRD1
0,0.369615275,0.402,0.177,0,0,RHOT1
7.26E-283,0.368476447,0.177,0.06,5.44E-279,0,PLAG1
0,0.367869557,0.303,0.136,0,0,CFLAR-AS1
0,0.367657811,0.342,0.149,0,0,ICA1
9.30E-271,0.367555831,0.223,0.09,6.97E-267,0,PPP1R3A
0,0.367481002,0.411,0.167,0,0,ADCY5
0,0.36733223,0.2,0.063,0,0,LMOD3
2.55E-283,0.36730188,0.252,0.106,1.91E-279,0,POPDC2
0,0.366563578,0.14,0.033,0,0,DNAAF3
0,0.366127647,0.166,0.043,0,0,ASB14
0,0.364777511,0.307,0.115,0,0,EXOC6
5.75E-242,0.362548221,0.195,0.077,4.31E-238,0,PAIP2B
0,0.362237347,0.594,0.258,0,0,ADK
3.72E-220,0.362029073,0.188,0.078,2.79E-216,0,RP11-650J17.1
